Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
P0DUN5	PA2_BOTBS	reviewed	Basic phospholipase A2 Bbil-TX (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragments)		Bothrops bilineatus smaragdinus (Two-striped forest-pitviper)	98	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9PRZ0	PA2_BOTJA	reviewed	Phospholipase A2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	15	Phospholipase A2 family, Group II subfamily
C0HJC1	PA2_BOTLA	reviewed	Acidic phospholipase A2 BlatPLA2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bothriechis lateralis (Side-striped palm pitviper)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
B3EWP6	PA2_LACMR	reviewed	Phospholipase A2 (Lmr-PLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Lachesis muta rhombeata (Bushmaster)	60	Phospholipase A2 family, Group II subfamily
C0HLF0	PA2_POROP	reviewed	Basic phospholipase A2 (PoPLA2) (PophPLA2) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Porthidium ophryomegas (Slender hognose viper)	121	Phospholipase A2 family, Group I subfamily, D49 sub-subfamily
P00626	PA2BA_VIPAA	reviewed	Basic phospholipase A2 ammodytoxin A (AtxA) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Vipera ammodytes ammodytes (Western sand viper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P24027	PA2BA_CRODU	reviewed	Phospholipase A2 crotoxin basic chain CBa2 (CB2) (CTX subunit CBa2) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus terrificus (South American rattlesnake)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
X2JCV5	OXLAA_CERCE	reviewed	L-amino acid oxidase (CC-LAAO) (LAO) (EC 1.4.3.2)		Cerastes cerastes (Horned desert viper)	516	Flavin monoamine oxidase family, FIG1 subfamily
P14424	PA2BB_VIPAA	reviewed	Basic phospholipase A2 ammodytoxin B (AtxB) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Vipera ammodytes ammodytes (Western sand viper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DMG8	OXLA_BOTCO	reviewed	L-amino-acid oxidase Bco23 (LAAO) (LAO) (EC 1.4.3.2) (Fragment)		Bothrops cotiara (Cotiara) (Rhinocerophis cotiara)	15	Flavin monoamine oxidase family, FIG1 subfamily
P59264	PA2BA_PROFL	reviewed	Basic phospholipase A2 PLA-A (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DI87	OXLA_BOTIN	reviewed	L-amino-acid oxidase (BiLAO) (LAAO) (EC 1.4.3.2) (Fragment)		Bothrops insularis (Golden lancehead) (Lachesis insularis)	49	Flavin monoamine oxidase family, FIG1 subfamily
G8XQX1	OXLA_DABRR	reviewed	L-amino-acid oxidase (DrLAO) (LAAO) (EC 1.4.3.2)		Daboia russelii (Russel's viper) (Vipera russelii)	504	Flavin monoamine oxidase family, FIG1 subfamily
Q6EER5	PA2B_CERGO	reviewed	Basic phospholipase A2 Ceg-N6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Cerrophidion godmani (Porthidium godmani) (Bothrops godmani)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P06860	PA2BX_PROFL	reviewed	Basic phospholipase A2 PL-X (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P81458	PA2B_DABRR	reviewed	Basic phospholipase A2 RVV-VD (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (R1)		Daboia russelii (Russel's viper) (Vipera russelii)	121	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q90Y77	PA2BY_PROFL	reviewed	Basic phospholipase A2 PL-Y (PLA-Y) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P70090	PA2H5_TRIGA	reviewed	Basic phospholipase A2 homolog 5 (svPLA2 homolog) (Phospholipase A2 isozyme V) (PLA2-V)		Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P86453	PA2HB_BOTAL	reviewed	Basic phospholipase A2 homolog BaTX (svPLA2 homolog)		Bothrops alternatus (Urutu) (Rhinocerophis alternatus)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P17935	PA2HL_VIPAA	reviewed	Basic phospholipase A2 homolog ammodytin L (AMDL) (AtnL) (svPLA2 homolog)		Vipera ammodytes ammodytes (Western sand viper)	138	Phospholipase A2 family, Group II subfamily, S49 sub-subfamily
P82287	PA2H2_BOTPI	reviewed	Basic phospholipase A2 homolog piratoxin-2 (svPLA2 homolog) (Piratoxin-II) (PrTX-II)		Bothrops pirajai (Piraja's lancehead)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
O57385	PA2H_DEIAC	reviewed	Basic phospholipase A2 homolog acutohaemolysin (svPLA2 homolog) (Dac-K49)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0CG56	PA2BB_CRODU	reviewed	Phospholipase A2 crotoxin basic subunit CBb (CTX subunit CBb) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus durissus terrificus (South American rattlesnake)	122	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DM50	PA2X2_BOTPA	reviewed	Phospholipase A2 neuwieditoxin-2 (NeuTX-2) (PLA2) (EC 3.1.1.4) (Neuwieditoxin-II) (NeuTX-II) (Phosphatidylcholine 2-acylhydrolase) (Fragment)		Bothrops pauloensis (Neuwied's lancehead) (Bothrops neuwiedi pauloensis)	40	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DMJ9	PA2H1_BOTMT	reviewed	Basic phospholipase A2 homolog BmatTX-I (svPLA2 homolog) (Lys49 PLA2-like) (Fragment)		Bothrops matogrossensis (Pitviper) (Bothrops neuwiedi matogrossensis)	51	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q719L8	SL_CRODU	reviewed	Snaclec crotocetin (CRC)		Crotalus durissus terrificus (South American rattlesnake)	148	Snaclec family
Q38L02	SLA_DABSI	reviewed	Snaclec dabocetin subunit alpha (C-type lectin-like 8)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	154	Snaclec family
B4XT02	SLB3_MACLB	reviewed	Snaclec B3/B5 (C-type lectin B3/B5)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	148	Snaclec family
D1MGU0	SLA_PROJR	reviewed	Snaclec jerdonibitin subunit alpha (TJ-GPIb-bp subunit alpha)		Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	156	Snaclec family
P0DJC9	SLB_BOTAS	reviewed	Snaclec aspercetin subunit beta (Fragment)		Bothrops asper (Terciopelo)	62	Snaclec family
P0DJL2	SLA_TRIPP	reviewed	Snaclec purpureotin subunit alpha		Trimeresurus purpureomaculatus (Mangrove pit viper) (Cryptelytrops purpureomaculatus)	133	Snaclec family
B4XT07	SLB8_MACLB	reviewed	Snaclec B8 (C-type lectin B8) (Fragment)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	130	Snaclec family
B4XT08	SLB9_MACLB	reviewed	Snaclec B9 (C-type lectin B9)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	148	Snaclec family
P0DM39	SLDB_TRIAB	reviewed	Snaclec alboaggregin-D subunit beta		Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris)	148	Snaclec family
J3RY43	SLD_CROAD	reviewed	C-type lectin 13		Crotalus adamanteus (Eastern diamondback rattlesnake)	142	Snaclec family
P22030	SLEB_BOTJA	reviewed	Snaclec botrocetin subunit beta (Platelet coagglutinin)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	125	Snaclec family
P22029	SLEA_BOTJA	reviewed	Snaclec botrocetin subunit alpha (Platelet coagglutinin)		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	133	Snaclec family
Q9I841	SLYA_CALRH	reviewed	Snaclec rhodocytin subunit alpha (Aggretin alpha chain) (Rhodoaggretin subunit alpha)		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	136	Snaclec family
Q5FZI5	SLTB_PROMU	reviewed	Snaclec trimecetin subunit beta		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	144	Snaclec family
Q7ZTA8	PA2AE_CROVV	reviewed	Acidic phospholipase A2 Cvv-E6e (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus viridis viridis (Prairie rattlesnake)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P70088	PA2A6_TRIGA	reviewed	Acidic phospholipase A2 6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 isozyme VI) (PLA2-VI)		Trimeresurus gramineus (Bamboo pit viper) (Indian green tree viper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DKR4	PA2AB_PSEFE	reviewed	Acidic phospholipase A2 CbIbeta (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Fragments)		Pseudocerastes fieldi (Field's horned viper) (Pseudocerastes persicus fieldi)	20	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DJJ9	PA2B2_PROFL	reviewed	Basic phospholipase A2 BP-II (svPLA2) (EC 3.1.1.4) (Basic protein II) (BP2) (BPII) (PflLys49-PLA2 BPII) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0DJJ8	PA2B1_PROFL	reviewed	Basic phospholipase A2 BP-I (svPLA2) (EC 3.1.1.4) (Basic protein I) (BP1) (BPI) (Phosphatidylcholine 2-acylhydrolase)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P51972	PA2B1_AGKPI	reviewed	Basic phospholipase A2 APP-D49 (svPLA2) (EC 3.1.1.4) (App-dimer) (AppP3) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus piscivorus (Eastern cottonmouth)	123	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
Q9PSF9	PA2B2_AGKBI	reviewed	Basic phospholipase A2 2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 II) (PLA2-II) (Fragment)		Agkistrodon bilineatus (Cantil) (Tropical moccasin)	39	Phospholipase A2 family, Group II subfamily
P80963	PA2H_BOTSC	reviewed	Basic phospholipase A2 homolog Bsc-K49 (svPLA2 homolog) (Myotoxin I)		Bothriechis schlegelii (Eyelash palm pitviper)	137	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
Q6WP39	OXLA_TRIST	reviewed	L-amino-acid oxidase (LAAO) (TSV-LAO) (EC 1.4.3.2)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	516	Flavin monoamine oxidase family, FIG1 subfamily
Q9I834	PA2H2_BOTMO	reviewed	Basic phospholipase A2 homolog myotoxin II (MjTX-II) (svPLA2 homolog) (Basic phospholipase A2 homolog 2) (M-VI)		Bothrops moojeni (Lance-headed viper) (Caissaca)	122	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P81165	PA2H2_CERGO	reviewed	Basic phospholipase A2 homolog GodMT-II (svPLA2 homolog) (Myotoxin II)		Cerrophidion godmani (Porthidium godmani) (Bothrops godmani)	121	Phospholipase A2 family, Group II subfamily, K49 sub-subfamily
P0DJC8	SLA_BOTAS	reviewed	Snaclec aspercetin subunit alpha (Fragment)		Bothrops asper (Terciopelo)	62	Snaclec family
P81508	SLA_CROHD	reviewed	Snaclec CHH-B subunit alpha		Crotalus horridus (Timber rattlesnake)	127	Snaclec family
E2DQZ6	SLJA_PROJR	reviewed	Snaclec jerdonuxin subunit alpha		Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	158	Snaclec family
Q7T248	SLA_ECHCA	reviewed	Snaclec echicetin subunit alpha (Fragment)		Echis carinatus (Saw-scaled viper)	135	Snaclec family
Q7LZ71	SLA_PROFL	reviewed	Snaclec coagulation factor IX-binding protein subunit A (IX-bp subunit A)		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	129	Snaclec family
B4XT03	SLB4_MACLB	reviewed	Snaclec B4 (C-type lectin B4)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	148	Snaclec family
P84038	SLA_MACLB	reviewed	Snaclec lebecetin subunit alpha (Fragment)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	42	Snaclec family
O93427	SLB_CRODU	reviewed	Snaclec convulxin subunit beta (CVX-beta)		Crotalus durissus terrificus (South American rattlesnake)	148	Snaclec family
Q8JIW1	SLUB_DEIAC	reviewed	Snaclec agkisacutacin subunit B (Agk-B)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	146	Snaclec family
Q4PRD1	SLLC1_DABSI	reviewed	Snaclec coagulation factor X-activating enzyme light chain 1 (C-type lectin-like protein subunit 2) (Coagulation factor X-activating enzyme gamma-chain) (RVV-X light chain 1)	LC1	Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	146	Snaclec family
P81115	SLBA_TRIAB	reviewed	Snaclec alboaggregin-B subunit alpha (AL-B subunit alpha) (25-kDa alboaggregin)		Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris)	156	Snaclec family
Q71RQ8	SLBB2_TRIST	reviewed	Snaclec stejaggregin-B subunit beta-2		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	146	Snaclec family
Q7LZK8	SLB_BITAR	reviewed	Snaclec bitiscetin subunit beta		Bitis arietans (African puff adder)	125	Snaclec family
P0DJL1	SLB_TRIAB	reviewed	Snaclec alboluxin subunit beta (Fragment)		Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris)	12	Snaclec family
C0HKZ7	SLMB_MACLB	reviewed	Snaclec macrovipecetin subunit beta		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	127	Snaclec family
P0DM38	SLDA_TRIAB	reviewed	Snaclec alboaggregin-D subunit alpha		Trimeresurus albolabris (White-lipped pit viper) (Cryptelytrops albolabris)	158	Snaclec family
Q6TPH0	SLOA_PROMU	reviewed	Snaclec mucrocetin subunit alpha		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	158	Snaclec family
Q6TPG9	SLOB_PROMU	reviewed	Snaclec mucrocetin subunit beta		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	148	Snaclec family
D2YW40	SLED_CALRH	reviewed	Snaclec rhodocetin subunit delta		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	124	Snaclec family
Q8JGT7	SLEA_PROMU	reviewed	Snaclec mucetin subunit alpha (Trimeresurus mucrosquamatus venom activator subunit alpha) (TMVA subunit alpha)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	158	Snaclec family
I7ICN3	SLRB_BITRH	reviewed	Snaclec rhinocetin subunit beta (C-type lectin like protein 2)		Bitis rhinoceros (West African gaboon viper) (Vipera rhinoceros)	150	Snaclec family
E2DQZ5	SLJB_PROJR	reviewed	Snaclec jerdonuxin subunit beta		Protobothrops jerdonii (Jerdon's pitviper) (Trimeresurus jerdonii)	148	Snaclec family
Q9YGG9	SLA_GLOBL	reviewed	Snaclec mamushigin subunit alpha		Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi)	157	Snaclec family
Q8AYA4	SLB1_DEIAC	reviewed	Snaclec agglucetin subunit beta-1		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	146	Snaclec family
Q9DG31	SLB_GLOHA	reviewed	Snaclec coagulation factor IX/factor X-binding protein subunit B (IX/X-bp subunit B) (Halyxin subunit B)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	146	Snaclec family
Q9DEA2	SLCA_DEIAC	reviewed	Snaclec agkicetin-C subunit alpha (Antithrombin A subunit A)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	155	Snaclec family
C0HLA4	SLLB_LACMR	reviewed	Snaclec LmrLEC-1 (Fragment)		Lachesis muta rhombeata (Bushmaster)	40	Snaclec family
P0DJL5	SLB_DABPA	reviewed	Snaclec VP12 subunit B		Daboia palaestinae (Palestine viper) (Vipera palaestinae)	125	Snaclec family
P0DMM6	SLA_TROWA	reviewed	Snaclec trowaglerix subunit alpha (Fragment)		Tropidolaemus wagleri (Wagler's pit viper) (Trimeresurus wagleri)	9	Snaclec family
P0DMM7	SLB_TROWA	reviewed	Snaclec trowaglerix subunit beta (Fragment)		Tropidolaemus wagleri (Wagler's pit viper) (Trimeresurus wagleri)	10	Snaclec family
P81996	SLB_ECHCS	reviewed	Snaclec echicetin subunit beta		Echis carinatus sochureki (Saw-scaled viper)	123	Snaclec family
W5XDM0	SLCIA_MACLB	reviewed	Snaclec lebecin subunit alpha		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	152	Snaclec family
P81398	SLEB_CALRH	reviewed	Snaclec rhodocetin subunit beta		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	129	Snaclec family
P81397	SLEA_CALRH	reviewed	Snaclec rhodocetin subunit alpha		Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	133	Snaclec family
Q8JGT6	SLEB_PROMU	reviewed	Snaclec mucetin subunit beta (Trimeresurus mucrosquamatus venom activator subunit beta) (TMVA subunit beta)		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	146	Snaclec family
P81798	SLR_ECHML	reviewed	Snaclec multactivase regulatory subunit (Fragment)		Echis multisquamatus (Central Asian sand viper)	29	Snaclec family
Q5FZI6	SLTA_PROMU	reviewed	Snaclec trimecetin subunit alpha		Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus)	156	Snaclec family
Q10754	PA2H_VIPAZ	reviewed	Acidic phospholipase A2 inhibitor vaspin A chain (VaspA) (svPLA2 homolog) (PLA2-I complex chain A)		Vipera aspis zinnikeri (Viper)	138	Phospholipase A2 family, Group II subfamily, D49 sub-subfamily
P0DL07	SVMI_BOTCO	reviewed	Poly-His-poly-Gly peptide 1 (pHpG-1)		Bothrops cotiara (Cotiara) (Rhinocerophis cotiara)	18	PHpG family
P0C7K5	SVMI1_ATHCH	reviewed	Poly-His-poly-Gly peptide 1 (pHpG-1)		Atheris chlorechis (Western bush viper) (Vipera chlorechis)	24	PHpG family
Q8JI40	CRVP_GLOBL	reviewed	Cysteine-rich venom protein ablomin		Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi)	240	CRISP family
Q6LEM5	BNP1_BOTJA	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (BPP-CNP) [Cleaved into: Bradykinin-potentiating peptide 6a (BPP-6a); Bradykinin-potentiating peptide 10a (BPP-10a) (Bradykinin-potentiating peptide IV-1-A) (BPPIV-1-A) (Bradykinin-potentiating peptide V-8); Bradykinin-potentiating peptide 13a+QQWA (BPP-13a+QQWA); Bradykinin-potentiating peptide 13a+QWA (BPP-13a+QWA); Bradykinin-potentiating peptide 13a (BPP-13a) (Bradykinin-potentiating peptide III-1-A) (III-1-A) (Bradykinin-potentiating peptide V-9); Bradykinin-potentiating peptide 10c+QQWA (BPP-10c+QQWA); Bradykinin-potentiating peptide 10c (BPP-10c) (BPP-2) (Bradykinin-potentiating peptide IV-1-Bbeta) (BPP IV-1-Bbeta) (Bradykinin-potentiating peptide V-7); Bradykinin-potentiating peptide 10c-F (BPP-10c-F); Bradykinin-potentiating peptide 11b (BPP-11b) (Bradykinin-potentiating peptide IIa) (BPP-IIa); Bradykinin-potentiating peptide IIb (BPP-IIb); Bradykinin-potentiating peptide 5a (BPP-5a) (Bradykinin-potentiating peptide Va) (BPPVa) (Proline-rich peptide 5a) (Bj-PRO-5a) (PRO-5a); Poly-His-poly-Gly peptide 1 (pHpG-1); C-type natriuretic peptide (Bj-CNP)]		Bothrops jararaca (Jararaca) (Bothrops jajaraca)	256	Bradykinin-potentiating peptide family; PHpG family; Natriuretic peptide family
Q6QX33	LECG_BOTIN	reviewed	C-type lectin BiL (CTL)		Bothrops insularis (Golden lancehead) (Lachesis insularis)	158	True venom lectin family
P21963	LECG_CROAT	reviewed	C-type lectin Cal (CTL) (Galactose-specific lectin) (Rattlesnake lectin) (RSL)		Crotalus atrox (Western diamondback rattlesnake)	135	True venom lectin family
J3SDX8	LICH_CROAD	reviewed	Putative lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)		Crotalus adamanteus (Eastern diamondback rattlesnake)	400	AB hydrolase superfamily, Lipase family
A3QVP0	HYAL2_BITAR	reviewed	Hyaluronidase-2 (Hy-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2) (Venom spreading factor)		Bitis arietans (African puff adder)	449	Glycosyl hydrolase 56 family
J3SE80	CYT2_CROAD	reviewed	Cystatin-2		Crotalus adamanteus (Eastern diamondback rattlesnake)	136	Cystatin family
A3QVN9	HYAL1_BITAR	reviewed	Hyaluronidase-1 (Hy-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Venom spreading factor)		Bitis arietans (African puff adder)	449	Glycosyl hydrolase 56 family
A3QVN2	HYAL_ECHOC	reviewed	Hyaluronidase (Hy) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor)		Echis ocellatus (Ocellated saw-scaled viper)	449	Glycosyl hydrolase 56 family
Q2PE51	BNP_CRODO	reviewed	Bradykinin-potentiating and C-type natriuretic peptides (Angiotensin converting enzyme inhibitor-CNP) (ACEI-CNP) (BPP-CNP) [Cleaved into: Bradykinin-potentiating peptide-1 (BPP-1); Bradykinin-potentiating peptide-2 (BPP-2); Bradykinin inhibitor peptide homolog (Cdc peptide) (Novel peptide); C-type natriuretic peptide (CNP)]		Crotalus durissus collilineatus (Brazilian rattlesnake)	181	Bradykinin-potentiating peptide family; Natriuretic peptide family
P0DM53	LECG_BOTAT	reviewed	C-type lectin galatrox (CTL) (Fragments)		Bothrops atrox (Barba amarilla) (Fer-de-lance)	77	True venom lectin family
Q6HAA2	CTSP2_CRODU	reviewed	Crotasin	Cts-p2	Crotalus durissus terrificus (South American rattlesnake)	63	
P0DM36	LECG_AGKPI	reviewed	C-type lectin APL (CTL)		Agkistrodon piscivorus piscivorus (Eastern cottonmouth)	135	True venom lectin family
P83519	LECG_BOTJR	reviewed	C-type lectin BJcuL (CTL) (Galactose-specific lectin) (Snake venom galactoside-binding lectin) (SVgalL)		Bothrops jararacussu (Jararacussu)	159	True venom lectin family
